試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
874,,,2006.07.02,ドイツ合宿・練習試合,FCバイエルン・ミュンヘン2(ドイツ),フライデンシュダッド,I,A,○ 1 - 0,1,0,-
875,,,2006.07.03,ドイツ合宿・練習試合,TSGホッフェンハイム(ドイツ),ケールスタジアム,I,A,△ 1 - 1,1,1,-
876,611,425,2006.07.19,2006Jリーグ ディビジョン1 第13節,アルビレックス新潟,新潟スタジアム,L,A,● 1 - 2,1,2,"38,592人"
877,612,426,2006.07.22,2006Jリーグ ディビジョン1 第14節,川崎フロンターレ,等々力陸上競技場,L,A,○ 2 - 0,2,0,"23,005人"
878,613,427,2006.07.26,2006Jリーグ ディビジョン1 第15節,大分トリニータ,さいたま市浦和駒場スタジアム,L,H,○ 1 - 0,1,0,"16,040人"
879,614,428,2006.07.29,2006Jリーグ ディビジョン1 第16節,ヴァンフォーレ甲府,山梨県小瀬スポーツ公園陸上競技場,L,A,△ 1 - 1,1,1,"17,000人"
880,,,2006.07.31,さいたまシティカップ2006,FCバイエルン・ミュンヘン(ドイツ),埼玉スタジアム2002,I,H,○ 1 - 0,1,0,"29,019人"
881,615,429,2006.08.12,2006Jリーグ ディビジョン1 第17節,FC東京,埼玉スタジアム2002,L,H,○ 4 - 0,4,0,"50,195人"
882,,,2006.08.13,2006Jサテライトリーグ 第8日,ベガルタ仙台,ユアテックスタジアム仙台,S,A,● 0 - 2,0,2,"4,200人"
883,616,430,2006.08.19,2006Jリーグ ディビジョン1 第18節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,△ 2 - 2,2,2,"34,236人"
884,617,431,2006.08.23,2006Jリーグ ディビジョン1 第19節,アルビレックス新潟,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,"34,417人"
885,618,432,2006.08.26,2006Jリーグ ディビジョン1 第20節,セレッソ大阪,大阪長居スタジアム,L,A,○ 2 - 1,2,1,"23,386人"
886,619,433,2006.08.30,2006Jリーグ ディビジョン1 第21節,大分トリニータ,九州石油ドーム,L,A,● 1 - 2,1,2,"27,843人"
887,620,434,2006.09.10,2006Jリーグ ディビジョン1 第22節,大宮アルディージャ,埼玉スタジアム2002,L,A,○ 2 - 0,2,0,"35,059人"
888,,,2006.09.12,2006Jサテライトリーグ 第9日,大宮アルディージャ,埼玉スタジアム2002 第2グラウンド,S,H,○ 3 - 1,3,1,696人
889,621,435,2006.09.16,2006Jリーグ ディビジョン1 第23節,サンフレッチェ広島,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"39,123人"
890,,,2006.09.17,2006Jサテライトリーグ 第10日,コンサドーレ札幌,宮の沢白い恋人サッカー場,S,A,△ 1 - 1,1,1,"1,726人"
891,622,436,2006.09.23,2006Jリーグ ディビジョン1 第24節,清水エスパルス,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"48,378人"
892,,,2006.09.24,2006Jサテライトリーグ 第11日,大宮アルディージャ,鴻巣市立陸上競技場,S,A,● 1 - 4,1,4,"3,058人"
893,623,437,2006.09.30,2006Jリーグ ディビジョン1 第25節,京都パープルサンガ,京都市西京極総合運動公園陸上競技場兼球技場,L,A,○ 5 - 1,5,1,"16,492人"
894,624,438,2006.10.07,2006Jリーグ ディビジョン1 第26節,ジェフユナイテッド千葉,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,"48,952人"
895,625,439,2006.10.15,2006Jリーグ ディビジョン1 第27節,アビスパ福岡,さいたま市浦和駒場スタジアム,L,H,○ 2 - 1,2,1,"17,541人"
896,626,440,2006.10.21,2006Jリーグ ディビジョン1 第28節,川崎フロンターレ,埼玉スタジアム2002,L,H,△ 2 - 2,2,2,"50,134人"
897,,,2006.10.22,2006Jサテライトリーグ 第15日,コンサドーレ札幌,熊谷スポーツ文化公園陸上競技場,S,H,● 1 - 5,1,5,"2,338人"
898,627,441,2006.10.28,2006Jリーグ ディビジョン1 第29節,ジュビロ磐田,ヤマハスタジアム(磐田),L,A,● 2 - 3,2,3,"16,162人"
899,,,2006.10.29,2006Jサテライトリーグ 第16日,ベガルタ仙台,東松山陸上競技場,S,H,● 0 - 1,0,1,"2,011人"
900,628,,2006.11.04,第86回天皇杯全日本サッカー選手権大会 4回戦,静岡FC,さいたま市浦和駒場スタジアム,E,N,○ 5 - 0,5,0,"13,636人"
901,629,442,2006.11.11,2006Jリーグ ディビジョン1 第30節,横浜F・マリノス,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"52,582人"
902,,,2006.11.12,2006Jサテライトリーグ 第17日,川崎フロンターレ,等々力陸上競技場,S,A,● 0 - 1,0,1,"2,453人"
903,630,443,2006.11.18,2006Jリーグ ディビジョン1 第31節,名古屋グランパスエイト,豊田スタジアム,L,A,● 0 - 1,0,1,"32,109人"
904,631,444,2006.11.23,2006Jリーグ ディビジョン1 第32節,ヴァンフォーレ甲府,埼玉スタジアム2002,L,H,○ 3 - 0,3,0,"57,781人"
905,632,445,2006.11.26,2006Jリーグ ディビジョン1 第33節,FC東京,味の素スタジアム,L,A,△ 0 - 0,0,0,"41,528人"
906,633,446,2006.12.02,2006Jリーグ ディビジョン1 第34節,ガンバ大阪,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,"62,241人"
907,634,,2006.12.16,第86回天皇杯全日本サッカー選手権大会 5回戦,アビスパ福岡,埼玉スタジアム2002,E,N,○ 3 - 0,3,0,"17,675人"
908,635,,2006.12.23,第86回天皇杯全日本サッカー選手権大会 準々決勝,ジュビロ磐田,埼玉スタジアム2002,E,N,○ 3 - 3 (PK 10 - 9),3,3,"27,242人"
909,636,,2006.12.29,第86回天皇杯全日本サッカー選手権大会 準決勝,鹿島アントラーズ,国立競技場,E,N,○ 2 - 1,2,1,"35,782人"
910,637,,2007.01.01,第86回天皇杯全日本サッカー選手権大会 決勝,ガンバ大阪,国立競技場,E,N,○ 1 - 0,1,0,"46,880人"
911,,,2007.02.13,Bull's Cup 2007,レッドブル・ザルツブルク(オーストリア),ブッレン・アレーナ,I,A,● 1 - 3,1,3,-
912,,,2007.02.13,Bull's Cup 2007,FCバイエルン・ミュンヘン(ドイツ),ブッレン・アレーナ,I,N,● 0 - 3,0,3,-
913,638,,2007.02.24,2007 XEROX SUPER CUP,ガンバ大阪,国立競技場,SC,N,● 0 - 4,0,4,"35,307人"
914,639,447,2007.03.03,2007Jリーグ ディビジョン1 第1節,横浜FC,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"57,188人"
915,640,,2007.03.07,AFCチャンピオンズリーグ2007 グループステージ MD1,ペルシク・ケディリ(インドネシア),埼玉スタジアム2002,ACL,H,○ 3 - 0,3,0,"31,303人"
916,641,448,2007.03.11,2007Jリーグ ディビジョン1 第2節,アルビレックス新潟,東北電力ビッグスワンスタジアム,L,A,△ 2 - 2,2,2,"40,524人"
917,642,449,2007.03.17,2007Jリーグ ディビジョン1 第3節,ヴァンフォーレ甲府,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,"39,494人"
918,643,,2007.03.21,AFCチャンピオンズリーグ2007 グループステージ MD2,シドニーFC(オーストラリア),オージースタジアム,ACL,A,△ 2 - 2,2,2,"21,000人"
919,644,450,2007.04.01,2007Jリーグ ディビジョン1 第4節,大分トリニータ,九州石油ドーム,L,A,△ 2 - 2,2,2,"27,163人"
920,645,451,2007.04.07,2007Jリーグ ディビジョン1 第5節,ジュビロ磐田,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"45,025人"
921,646,,2007.04.11,AFCチャンピオンズリーグ2007 グループステージ MD3,上海申花(中国),埼玉スタジアム2002,ACL,H,○ 1 - 0,1,0,"28,828人"
922,647,452,2007.04.15,2007Jリーグ ディビジョン1 第6節,柏レイソル,国立競技場,L,A,○ 2 - 0,2,0,"35,013人"
923,648,453,2007.04.21,2007Jリーグ ディビジョン1 第7節,川崎フロンターレ,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"50,531人"
924,649,,2007.04.25,AFCチャンピオンズリーグ2007 グループステージ MD4,上海申花(中国),上海浦東源深体育場,ACL,A,△ 0 - 0,0,0,"6,000人"
925,650,454,2007.04.29,2007Jリーグ ディビジョン1 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,○ 1 - 0,1,0,"36,146人"
926,651,455,2007.05.03,2007Jリーグ ディビジョン1 第9節,ジェフユナイテッド千葉,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"57,440人"
927,652,456,2007.05.06,2007Jリーグ ディビジョン1 第10節,大宮アルディージャ,埼玉スタジアム2002,L,A,△ 1 - 1,1,1,"33,162人"
928,653,,2007.05.09,AFCチャンピオンズリーグ2007 グループステージ MD5,ペルシク・ケディリ(インドネシア),マナハン・スタジアム,ACL,A,△ 3 - 3,3,3,"7,000人"
929,654,457,2007.05.13,2007Jリーグ ディビジョン1 第11節,ガンバ大阪,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"55,258人"
930,655,458,2007.05.19,2007Jリーグ ディビジョン1 第12節,名古屋グランパスエイト,豊田スタジアム,L,A,○ 2 - 1,2,1,"34,347人"
931,656,,2007.05.23,AFCチャンピオンズリーグ2007 グループステージ MD6,シドニーFC(オーストラリア),埼玉スタジアム2002,ACL,H,△ 0 - 0,0,0,"44,793人"
932,657,459,2007.05.27,2007Jリーグ ディビジョン1 第13節,横浜F・マリノス,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"51,829人"
933,658,,2007.06.07,A3チャンピオンズカップ2007 第1戦,山東魯能(中国),山東省体育中心体育場,A3,N,● 3 - 4,3,4,"31,000人"
934,659,,2007.06.10,A3チャンピオンズカップ2007 第2戦,城南一和(韓国),山東省体育中心体育場,A3,N,○ 1 - 0,1,0,"15,000人"
935,660,,2007.06.13,A3チャンピオンズカップ2007 第3戦,上海申花(中国),山東省体育中心体育場,A3,N,● 1 - 3,1,3,"31,000人"
936,661,460,2007.06.17,2007Jリーグ ディビジョン1 第15節,FC東京,味の素スタジアム,L,A,○ 2 - 0,2,0,"38,439人"
937,662,461,2007.06.20,2007Jリーグ ディビジョン1 第16節,ヴィッセル神戸,さいたま市浦和駒場スタジアム,L,H,○ 2 - 0,2,0,"16,709人"
938,663,462,2007.06.23,2007Jリーグ ディビジョン1 第17節,清水エスパルス,日本平スタジアム,L,A,○ 1 - 0,1,0,"20,300人"
939,664,463,2007.06.30,2007Jリーグ ディビジョン1 第18節,ジュビロ磐田,エコパスタジアム,L,A,○ 2 - 0,2,0,"35,072人"
940,,,2007.07.01,2007Jサテライトリーグ 第4日,アルビレックス新潟,新潟市陸上競技場,S,A,○ 2 - 1,2,1,"3,819人"
941,665,,2007.07.07,2007Jリーグヤマザキナビスコカップ 準々決勝 第1戦,ガンバ大阪,埼玉スタジアム2002,LC,H,△ 1 - 1,1,1,"44,609人"
942,666,,2007.07.14,2007Jリーグヤマザキナビスコカップ 準々決勝 第2戦,ガンバ大阪,万博記念競技場,LC,A,● 2 - 5,2,5,"14,213人"
943,,,2007.07.17,さいたまシティカップ2007,マンチェスター・ユナイテッド(イングランド),埼玉スタジアム2002,I,H,△ 2 - 2,2,2,"58,716人"
中止,,,2007.07.29,2007Jサテライトリーグ,ザスパ草津,群馬県立敷島公園県営サッカー・ラグビー場,S,A,中止,-,-,-
944,667,464,2007.08.01,2007Jリーグ ディビジョン1 第14節,サンフレッチェ広島,埼玉スタジアム2002,L,H,○ 4 - 1,4,1,"38,682人"
945,,,2007.08.05,2007Jサテライトリーグ 第6日,大宮アルディージャ,鴻巣市立陸上競技場,S,A,○ 6 - 0,6,0,"1,598人"
946,668,465,2007.08.11,2007Jリーグ ディビジョン1 第19節,柏レイソル,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"47,359人"
947,669,466,2007.08.15,2007Jリーグ ディビジョン1 第20節,ガンバ大阪,万博記念競技場,L,A,○ 1 - 0,1,0,"20,982人"
948,670,467,2007.08.18,2007Jリーグ ディビジョン1 第21節,ヴァンフォーレ甲府,国立競技場,L,A,○ 4 - 1,4,1,"36,756人"
949,671,468,2007.08.25,2007Jリーグ ディビジョン1 第22節,FC東京,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,"46,951人"
950,672,469,2007.08.29,2007Jリーグ ディビジョン1 第23節,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,L,A,○ 2 - 1,2,1,"20,067人"
951,673,470,2007.09.01,2007Jリーグ ディビジョン1 第24節,大宮アルディージャ,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"49,810人"
952,,,2007.09.02,2007Jサテライトリーグ 第7日,アルビレックス新潟,東松山陸上競技場,S,H,△ 0 - 0,0,0,"1,056人"
953,,,2007.09.12,2007Jサテライトリーグ 第10日,大宮アルディージャ,埼玉スタジアム2002 第2グラウンド,S,H,○ 1 - 0,1,0,820人
954,674,471,2007.09.15,2007Jリーグ ディビジョン1 第25節,サンフレッチェ広島,広島ビッグアーチ,L,A,○ 4 - 2,4,2,"22,675人"
955,675,,2007.09.19,AFCチャンピオンズリーグ2007 準々決勝 第1戦,全北現代モータース(韓国),埼玉スタジアム2002,ACL,H,○ 2 - 1,2,1,"33,103人"
956,676,472,2007.09.22,2007Jリーグ ディビジョン1 第26節,横浜F・マリノス,日産スタジアム,L,A,○ 1 - 0,1,0,"48,166人"
957,677,,2007.09.26,AFCチャンピオンズリーグ2007 準々決勝 第2戦,全北現代モータース(韓国),全州ワールドカップスタジアム,ACL,A,○ 2 - 0,2,0,"31,000人"
958,678,473,2007.09.30,2007Jリーグ ディビジョン1 第27節,アルビレックス新潟,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"47,755人"
959,679,,2007.10.03,AFCチャンピオンズリーグ2007 準決勝 第1戦,城南一和(韓国),城南市炭川総合運動場,ACL,A,△ 2 - 2,2,2,"17,000人"
960,680,474,2007.10.07,2007Jリーグ ディビジョン1 第28節,大分トリニータ,さいたま市浦和駒場スタジアム,L,H,○ 2 - 1,2,1,"18,511人"
961,,,2007.10.14,2007Jサテライトリーグ 第12日,ザスパ草津,埼玉スタジアム2002 第2グラウンド,S,H,○ 1 - 0,1,0,"2,200人"
962,681,475,2007.10.20,2007Jリーグ ディビジョン1 第29節,ジェフユナイテッド千葉,フクダ電子アリーナ,L,A,○ 4 - 2,4,2,"16,756人"
963,682,,2007.10.24,AFCチャンピオンズリーグ2007 準決勝 第2戦,城南一和(韓国),埼玉スタジアム2002,ACL,H,○ 2 - 2 (PK 5 - 3),2,2,"51,651人"
964,683,476,2007.10.28,2007Jリーグ ディビジョン1 第30節,名古屋グランパスエイト,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"52,314人"
965,684,,2007.11.07,AFCチャンピオンズリーグ2007 決勝 第1戦,セパハン(イラン),フーラド・シャハールスタジアム,ACL,A,△ 1 - 1,1,1,"30,000人"
966,685,477,2007.11.11,2007Jリーグ ディビジョン1 第31節,川崎フロンターレ,等々力陸上競技場,L,A,△ 1 - 1,1,1,"23,355人"
967,686,,2007.11.14,AFCチャンピオンズリーグ2007 決勝 第2戦,セパハン(イラン),埼玉スタジアム2002,ACL,H,○ 2 - 0,2,0,"59,034人"
968,687,478,2007.11.18,2007Jリーグ ディビジョン1 第32節,清水エスパルス,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"56,368人"
969,,,2007.11.21,2007Jサテライトリーグ 第15日,ザスパ草津,さいたま市大原サッカー場,S,A,○ 1 - 0,1,0,200人
970,688,479,2007.11.24,2007Jリーグ ディビジョン1 第33節,鹿島アントラーズ,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"62,123人"
971,689,,2007.11.28,第87回天皇杯全日本サッカー選手権大会 4回戦,愛媛FC,さいたま市浦和駒場スタジアム,E,N,● 0 - 2,0,2,"12,247人"
972,690,480,2007.12.01,2007Jリーグ ディビジョン1 第34節,横浜FC,日産スタジアム,L,A,● 0 - 1,0,1,"46,697人"
973,691,,2007.12.10,FIFAクラブワールドカップ ジャパン2007 準々決勝,セパハン(イラン),豊田スタジアム,FCWC,N,○ 3 - 1,3,1,"33,263人"
974,692,,2007.12.13,FIFAクラブワールドカップ ジャパン2007 準決勝,ACミラン(イタリア),横浜国際総合競技場,FCWC,N,● 0 - 1,0,1,"67,005人"
975,693,,2007.12.16,FIFAクラブワールドカップ ジャパン2007 3位決定戦,エトワール・サヘル(チュニジア),横浜国際総合競技場,FCWC,N,○ 2 - 2 (PK 4 - 2),2,2,"53,363人"
976,694,481,2008.03.08,2008Jリーグ ディビジョン1 第1節,横浜F・マリノス,日産スタジアム,L,A,● 0 - 1,0,1,"61,246人"
977,,,2008.03.09,2008Jサテライトリーグ 第1日,FC東京,江東区夢の島競技場,S,A,● 0 - 1,0,1,"1,629人"
978,695,482,2008.03.15,2008Jリーグ ディビジョン1 第2節,名古屋グランパス,埼玉スタジアム2002,L,H,● 0 - 2,0,2,"54,482人"
979,696,,2008.03.20,2008Jリーグヤマザキナビスコカップ 予選リーグ 第1節,ヴィッセル神戸,埼玉スタジアム2002,LC,H,● 0 - 1,0,1,"33,392人"
980,697,,2008.03.23,2008Jリーグヤマザキナビスコカップ 予選リーグ 第2節,京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,LC,A,△ 3 - 3,3,3,"13,332人"
981,698,483,2008.03.30,2008Jリーグ ディビジョン1 第3節,アルビレックス新潟,埼玉スタジアム2002,L,H,○ 3 - 0,3,0,"46,962人"
982,699,484,2008.04.02,2008Jリーグ ディビジョン1 第4節,清水エスパルス,日本平スタジアム,L,A,○ 2 - 1,2,1,"15,223人"
983,700,485,2008.04.05,2008Jリーグ ディビジョン1 第5節,ジュビロ磐田,エコパスタジアム,L,A,○ 2 - 1,2,1,"27,866人"
984,,,2008.04.06,2008Jサテライトリーグ 第2日,水戸ホーリーホック,水戸市立サッカー・ラグビー場,S,A,● 1 - 3,1,3,721人
985,701,486,2008.04.13,2008Jリーグ ディビジョン1 第6節,鹿島アントラーズ,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,"54,450人"
986,702,,2008.04.16,2008Jリーグヤマザキナビスコカップ 予選リーグ 第3節,京都サンガF.C.,さいたま市浦和駒場スタジアム,LC,H,△ 1 - 1,1,1,"15,973人"
987,703,487,2008.04.20,2008Jリーグ ディビジョン1 第7節,大宮アルディージャ,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"50,997人"
988,704,488,2008.04.26,2008Jリーグ ディビジョン1 第8節,京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,L,A,○ 4 - 0,4,0,"19,680人"
989,705,489,2008.04.29,2008Jリーグ ディビジョン1 第9節,コンサドーレ札幌,埼玉スタジアム2002,L,H,○ 4 - 2,4,2,"48,031人"
990,706,490,2008.05.03,2008Jリーグ ディビジョン1 第10節,ヴィッセル神戸,ホームズスタジアム神戸,L,A,△ 1 - 1,1,1,"23,088人"
991,707,491,2008.05.06,2008Jリーグ ディビジョン1 第11節,ジェフユナイテッド千葉,埼玉スタジアム2002,L,H,○ 3 - 0,3,0,"52,008人"
992,708,492,2008.05.10,2008Jリーグ ディビジョン1 第12節,川崎フロンターレ,等々力陸上競技場,L,A,○ 1 - 0,1,0,"20,335人"
993,,,2008.05.11,2008Jサテライトリーグ 第3日,ザスパ草津,埼玉スタジアム2002 第2グラウンド,S,H,○ 2 - 0,2,0,"1,460人"
994,709,493,2008.05.17,2008Jリーグ ディビジョン1 第13節,ガンバ大阪,埼玉スタジアム2002,L,H,● 2 - 3,2,3,"57,050人"
995,710,,2008.05.25,2008Jリーグヤマザキナビスコカップ 予選リーグ 第4節,名古屋グランパス,豊田スタジアム,LC,A,● 2 - 4,2,4,"21,015人"
996,711,,2008.05.31,2008Jリーグヤマザキナビスコカップ 予選リーグ 第5節,ヴィッセル神戸,ホームズスタジアム神戸,LC,A,● 1 - 2,1,2,"17,453人"
997,712,,2008.06.08,2008Jリーグヤマザキナビスコカップ 予選リーグ 第6節,名古屋グランパス,埼玉スタジアム2002,LC,H,● 1 - 5,1,5,"35,417人"
998,713,494,2008.06.28,2008Jリーグ ディビジョン1 第14節,柏レイソル,国立競技場,L,A,● 1 - 2,1,2,"36,785人"
999,,,2008.06.29,2008Jサテライトリーグ 第4日,水戸ホーリーホック,熊谷スポーツ文化公園陸上競技場,S,H,△ 1 - 1,1,1,"1,608人"
1000,714,495,2008.07.05,2008Jリーグ ディビジョン1 第15節,FC東京,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,"49,218人"
1001,715,496,2008.07.12,2008Jリーグ ディビジョン1 第16節,大分トリニータ,九州石油ドーム,L,A,● 0 - 2,0,2,"28,214人"
1002,716,497,2008.07.17,2008Jリーグ ディビジョン1 第17節,東京ヴェルディ,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,"35,080人"
1003,717,498,2008.07.21,2008Jリーグ ディビジョン1 第18節,川崎フロンターレ,埼玉スタジアム2002,L,H,● 1 - 3,1,3,"51,168人"
1004,718,499,2008.07.27,2008Jリーグ ディビジョン1 第19節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,△ 1 - 1,1,1,"36,412人"
1005,,,2008.07.31,さいたまシティカップ2008,FCバイエルン・ミュンヘン(ドイツ),埼玉スタジアム2002,I,H,● 2 - 4,2,4,"27,292人"
1006,719,500,2008.08.09,2008Jリーグ ディビジョン1 第20節,柏レイソル,埼玉スタジアム2002,L,H,△ 2 - 2,2,2,"46,981人"
1007,,,2008.08.13,2008Jサテライトリーグ 第10日,ザスパ草津,熊谷スポーツ文化公園補助陸上競技場,S,A,○ 2 - 1,2,1,550人
1008,720,501,2008.08.16,2008Jリーグ ディビジョン1 第21節,FC東京,味の素スタジアム,L,A,○ 1 - 0,1,0,"37,154人"
1009,721,502,2008.08.23,2008Jリーグ ディビジョン1 第22節,ジュビロ磐田,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,"45,253人"
1010,722,503,2008.08.27,2008Jリーグ ディビジョン1 第23節,東京ヴェルディ,国立競技場,L,A,△ 1 - 1,1,1,"26,275人"
1011,723,504,2008.09.13,2008Jリーグ ディビジョン1 第24節,大分トリニータ,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"45,831人"
1012,724,,2008.09.17,AFCチャンピオンズリーグ2008 準々決勝 第1戦,アルカディシア(クウェート),モハメド・アルハマド・スタジアム,ACL,A,● 2 - 3,2,3,"12,000人"
1013,725,505,2008.09.21,2008Jリーグ ディビジョン1 第25節,大宮アルディージャ,NACK5スタジアム大宮,L,A,○ 1 - 0,1,0,"11,530人"
1014,726,,2008.09.24,AFCチャンピオンズリーグ2008 準々決勝 第2戦,アルカディシア(クウェート),埼玉スタジアム2002,ACL,H,○ 2 - 0,2,0,"41,790人"
1015,727,506,2008.09.28,2008Jリーグ ディビジョン1 第27節,名古屋グランパス,名古屋市瑞穂陸上競技場,L,A,△ 1 - 1,1,1,"19,811人"
1016,728,507,2008.10.01,2008Jリーグ ディビジョン1 第26節,京都サンガF.C.,さいたま市浦和駒場スタジアム,L,H,△ 2 - 2,2,2,"16,225人"
1017,729,508,2008.10.05,2008Jリーグ ディビジョン1 第28節,ジェフユナイテッド千葉,フクダ電子アリーナ,L,A,● 2 - 3,2,3,"16,718人"
1018,730,,2008.10.08,AFCチャンピオンズリーグ2008 準決勝 第1戦,ガンバ大阪,万博記念競技場,ACL,A,△ 1 - 1,1,1,"17,166人"
1019,731,509,2008.10.18,2008Jリーグ ディビジョン1 第29節,ヴィッセル神戸,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"47,325人"
1020,732,,2008.10.22,AFCチャンピオンズリーグ2008 準決勝 第2戦,ガンバ大阪,埼玉スタジアム2002,ACL,H,● 1 - 3,1,3,"53,287人"
1021,733,510,2008.10.26,2008Jリーグ ディビジョン1 第30節,アルビレックス新潟,東北電力ビッグスワンスタジアム,L,A,○ 1 - 0,1,0,"40,359人"
1022,734,,2008.11.03,第88回天皇杯全日本サッカー選手権大会 4回戦,愛媛FC,さいたま市浦和駒場スタジアム,E,N,○ 1 - 0,1,0,"16,724人"
1023,735,511,2008.11.08,2008Jリーグ ディビジョン1 第31節,コンサドーレ札幌,札幌ドーム,L,A,○ 2 - 1,2,1,"28,901人"
1024,736,,2008.11.15,第88回天皇杯全日本サッカー選手権大会 5回戦,横浜F・マリノス,香川県立丸亀競技場,E,N,● 2 - 2 (PK 5 - 6),2,2,"10,303人"
1025,737,512,2008.11.23,2008Jリーグ ディビジョン1 第32節,清水エスパルス,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"54,709人"
1026,,,2008.11.27,2008Jサテライトリーグ 第17日,FC東京,さいたま市大原サッカー場,S,H,● 0 - 1,0,1,412人
1027,738,513,2008.11.29,2008Jリーグ ディビジョン1 第33節,ガンバ大阪,万博記念競技場,L,A,● 0 - 1,0,1,"19,605人"
1028,739,514,2008.12.06,2008Jリーグ ディビジョン1 第34節,横浜F・マリノス,埼玉スタジアム2002,L,H,● 1 - 6,1,6,"53,583人"
1029,740,515,2009.03.07,2009Jリーグ ディビジョン1 第1節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 2,0,2,"37,878人"
1030,741,516,2009.03.14,2009Jリーグ ディビジョン1 第2節,FC東京,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,"50,802人"
1031,742,517,2009.03.21,2009Jリーグ ディビジョン1 第3節,ジュビロ磐田,エコパスタジアム,L,A,△ 1 - 1,1,1,"18,439人"
1032,743,,2009.03.25,2009Jリーグヤマザキナビスコカップ 予選リーグ 第1節,サンフレッチェ広島,広島ビッグアーチ,LC,A,● 0 - 1,0,1,"10,275人"
1033,744,,2009.03.29,2009Jリーグヤマザキナビスコカップ 予選リーグ 第2節,横浜F・マリノス,日産スタジアム,LC,A,○ 1 - 0,1,0,"23,660人"
1034,745,518,2009.04.04,2009Jリーグ ディビジョン1 第4節,大分トリニータ,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"45,542人"
1035,,,2009.04.05,2009Jサテライトリーグ 第1日,アルビレックス新潟,新潟市陸上競技場,S,A,○ 1 - 0,1,0,"2,074人"
1036,746,519,2009.04.12,2009Jリーグ ディビジョン1 第5節,名古屋グランパス,豊田スタジアム,L,A,○ 1 - 0,1,0,"32,435人"
1037,747,520,2009.04.18,2009Jリーグ ディビジョン1 第6節,京都サンガF.C.,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"41,836人"
1038,,,2009.04.19,2009Jサテライトリーグ 第2日,アルビレックス新潟,鴻巣市立陸上競技場,S,H,● 0 - 1,0,1,"3,387人"
1039,748,521,2009.04.25,2009Jリーグ ディビジョン1 第7節,ジェフユナイテッド千葉,フクダ電子アリーナ,L,A,○ 1 - 0,1,0,"15,428人"
1040,749,522,2009.04.29,2009Jリーグ ディビジョン1 第8節,清水エスパルス,エコパスタジアム,L,A,△ 2 - 2,2,2,"30,851人"
1041,750,523,2009.05.02,2009Jリーグ ディビジョン1 第9節,アルビレックス新潟,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"50,284人"
1042,751,524,2009.05.05,2009Jリーグ ディビジョン1 第10節,柏レイソル,国立競技場,L,A,○ 3 - 2,3,2,"32,854人"
1043,752,525,2009.05.10,2009Jリーグ ディビジョン1 第11節,川崎フロンターレ,埼玉スタジアム2002,L,H,● 2 - 3,2,3,"51,594人"
1044,753,526,2009.05.16,2009Jリーグ ディビジョン1 第12節,ガンバ大阪,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"53,374人"
1045,754,,2009.05.20,2009Jリーグヤマザキナビスコカップ 予選リーグ 第3節,大分トリニータ,九州石油ドーム,LC,A,△ 1 - 1,1,1,"12,361人"
