試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
594,400,279,2001.09.22,2001Jリーグ ディビジョン1 2ndステージ 第6節,鹿島アントラーズ,国立競技場,L,H,● 1 - 2,1,2,"37,971人"
595,401,280,2001.09.29,2001Jリーグ ディビジョン1 2ndステージ 第7節,FC東京,東京スタジアム,L,A,● 2 - 3,2,3,"27,103人"
596,402,281,2001.10.13,2001Jリーグ ディビジョン1 2ndステージ 第8節,横浜F・マリノス,埼玉スタジアム2002,L,H,● 0 - 2,0,2,"60,553人"
597,403,282,2001.10.17,2001Jリーグ ディビジョン1 2ndステージ 第9節,アビスパ福岡,東平尾公園博多の森球技場,L,A,△ 1 - 1,1,1,"8,294人"
598,404,283,2001.10.20,2001Jリーグ ディビジョン1 2ndステージ 第10節,ガンバ大阪,万博記念競技場,L,A,△ 1 - 1,1,1,"10,129人"
599,,,2001.10.21,2001Jサテライトリーグ 第23日,鹿島アントラーズ,川越運動公園陸上競技場,S,H,△ 0 - 0,0,0,"1,601人"
600,405,284,2001.10.31,2001Jリーグ ディビジョン1 2ndステージ 第11節,清水エスパルス,さいたま市浦和駒場スタジアム,L,H,○ 2 - 1,2,1,"16,808人"
601,406,285,2001.11.03,2001Jリーグ ディビジョン1 2ndステージ 第12節,コンサドーレ札幌,札幌ドーム,L,A,△ 1 - 1,1,1,"38,639人"
602,407,286,2001.11.10,2001Jリーグ ディビジョン1 2ndステージ 第13節,柏レイソル,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,"43,686人"
603,408,287,2001.11.17,2001Jリーグ ディビジョン1 2ndステージ 第14節,セレッソ大阪,大阪長居スタジアム,L,A,● 1 - 2,1,2,"10,071人"
604,409,288,2001.11.24,2001Jリーグ ディビジョン1 2ndステージ 第15節,名古屋グランパスエイト,さいたま市浦和駒場スタジアム,L,H,○ 2 - 0,2,0,"19,886人"
605,410,,2001.12.09,第81回天皇杯全日本サッカー選手権大会 3回戦,ヴァンフォーレ甲府,埼玉県営大宮公園サッカー場,E,N,○ 2 - 0,2,0,"7,732人"
606,411,,2001.12.16,第81回天皇杯全日本サッカー選手権大会 4回戦,ヴィッセル神戸,京都市西京極総合運動公園陸上競技場兼球技場,E,N,○ 4 - 1,4,1,"3,065人"
607,412,,2001.12.24,第81回天皇杯全日本サッカー選手権大会 準々決勝,ジェフユナイテッド市原,仙台スタジアム,E,N,○ 2 - 1,2,1,"14,073人"
608,413,,2001.12.29,第81回天皇杯全日本サッカー選手権大会 準決勝,セレッソ大阪,埼玉スタジアム2002,E,N,● 0 - 1,0,1,"36,486人"
609,414,289,2002.03.03,2002Jリーグ ディビジョン1 1stステージ 第1節,横浜F・マリノス,横浜国際総合競技場,L,A,● 0 - 1,0,1,"36,060人"
610,415,290,2002.03.09,2002Jリーグ ディビジョン1 1stステージ 第2節,FC東京,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"33,018人"
611,,,2002.03.10,2002Jサテライトリーグ 第1日,鹿島アントラーズ,ひたちなか市総合運動公園陸上競技場,S,A,△ 1 - 1,1,1,625人
612,416,291,2002.03.16,2002Jリーグ ディビジョン1 1stステージ 第3節,清水エスパルス,日本平スタジアム,L,A,● 1 - 2,1,2,"14,380人"
613,,,2002.03.17,2002Jサテライトリーグ 第2日,柏レイソル,柏の葉公園総合競技場,S,A,○ 2 - 0,2,0,520人
614,,,2002.03.21,2002Jサテライトリーグ 第3日,ジェフユナイテッド市原,市原臨海競技場,S,A,● 0 - 1,0,1,392人
615,,,2002.03.24,2002Jサテライトリーグ 第4日,ベガルタ仙台,岩沼市陸上競技場,S,A,● 0 - 2,0,2,"3,000人"
616,417,292,2002.03.31,2002Jリーグ ディビジョン1 1stステージ 第4節,ガンバ大阪,万博記念競技場,L,A,△ 2 - 2,2,2,"7,838人"
617,418,293,2002.04.07,2002Jリーグ ディビジョン1 1stステージ 第5節,サンフレッチェ広島,さいたま市浦和駒場スタジアム,L,H,○ 4 - 1,4,1,"19,058人"
618,419,294,2002.04.14,2002Jリーグ ディビジョン1 1stステージ 第6節,ベガルタ仙台,宮城スタジアム,L,A,○ 2 - 1,2,1,"38,159人"
619,420,295,2002.04.20,2002Jリーグ ディビジョン1 1stステージ 第7節,東京ヴェルディ1969,東京スタジアム,L,A,● 1 - 2,1,2,"21,050人"
620,421,,2002.04.27,2002Jリーグヤマザキナビスコカップ 予選リーグ 第1節,名古屋グランパスエイト,名古屋市瑞穂陸上競技場,LC,A,○ 2 - 0,2,0,"8,427人"
621,422,,2002.04.30,2002Jリーグヤマザキナビスコカップ 予選リーグ 第2節,鹿島アントラーズ,さいたま市浦和駒場スタジアム,LC,H,○ 3 - 2,3,2,"12,509人"
622,423,,2002.05.03,2002Jリーグヤマザキナビスコカップ 予選リーグ 第3節,サンフレッチェ広島,広島ビッグアーチ,LC,A,△ 0 - 0,0,0,"8,014人"
623,424,,2002.05.06,2002Jリーグヤマザキナビスコカップ 予選リーグ 第4節,サンフレッチェ広島,さいたま市浦和駒場スタジアム,LC,H,○ 3 - 1,3,1,"17,361人"
624,425,,2002.05.09,2002Jリーグヤマザキナビスコカップ 予選リーグ 第5節,鹿島アントラーズ,笠松運動公園陸上競技場,LC,A,○ 3 - 2,3,2,"3,318人"
625,426,,2002.05.12,2002Jリーグヤマザキナビスコカップ 予選リーグ 第6節,名古屋グランパスエイト,さいたま市浦和駒場スタジアム,LC,H,● 1 - 5,1,5,"15,637人"
