試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数,date,year,month,day,weekday,result,延期or中止
1370,1067,761,2016.04.29,2016明治安田生命J1リーグ 1stステージ 第9節,名古屋グランパス,埼玉スタジアム2002,L,H,○ 4 - 1,4,1,42547,2016-04-29,2016,4,29,金,W,False
1371,1068,,2016.05.03,AFCチャンピオンズリーグ2016 グループステージ MD6,浦項スティーラーズ(韓国),埼玉スタジアム2002,ACL,H,△ 1 - 1,1,1,32409,2016-05-03,2016,5,3,火,D,False
1372,1069,762,2016.05.08,2016明治安田生命J1リーグ 1stステージ 第11節,大宮アルディージャ,NACK5スタジアム大宮,L,A,○ 1 - 0,1,0,13880,2016-05-08,2016,5,8,日,W,False
1373,1070,763,2016.05.14,2016明治安田生命J1リーグ 1stステージ 第12節,アルビレックス新潟,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,33763,2016-05-14,2016,5,14,土,D,False
1374,1071,,2016.05.18,AFCチャンピオンズリーグ2016 ラウンド16 第1戦,FCソウル(韓国),埼玉スタジアム2002,ACL,H,○ 1 - 0,1,0,21182,2016-05-18,2016,5,18,水,W,False
1375,1072,,2016.05.25,AFCチャンピオンズリーグ2016 ラウンド16 第2戦,FCソウル(韓国),ソウルワールドカップスタジアム,ACL,A,● 2 - 3 (PK 6 - 7),2,3,14173,2016-05-25,2016,5,25,水,L,False
1376,1073,764,2016.05.29,2016明治安田生命J1リーグ 1stステージ 第14節,サガン鳥栖,ベストアメニティスタジアム,L,A,△ 0 - 0,0,0,13380,2016-05-29,2016,5,29,日,D,False
1377,1074,765,2016.06.11,2016明治安田生命J1リーグ 1stステージ 第15節,鹿島アントラーズ,埼玉スタジアム2002,L,H,● 0 - 2,0,2,51674,2016-06-11,2016,6,11,土,L,False
1378,1075,766,2016.06.15,2016明治安田生命J1リーグ 1stステージ 第10節,ガンバ大阪,市立吹田サッカースタジアム,L,A,● 0 - 1,0,1,29397,2016-06-15,2016,6,15,水,L,False
1379,1076,767,2016.06.18,2016明治安田生命J1リーグ 1stステージ 第16節,サンフレッチェ広島,エディオンスタジアム広島,L,A,● 2 - 4,2,4,24656,2016-06-18,2016,6,18,土,L,False
1380,1077,768,2016.06.22,2016明治安田生命J1リーグ 1stステージ 第13節,FC東京,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,24368,2016-06-22,2016,6,22,水,W,False
