試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数,date,year,month,day,weekday,result,延期or中止
378,,,1997.04.27,1997Jサテライトリーグ 第8節,鹿島アントラーズ,鹿島アントラーズクラブハウスグラウンド,S,A,○ 1 - 0,1,0,508,1997-04-27,1997,4,27,日,W,False
379,220,168,1997.05.03,1997Jリーグ 1stステージ 第6節,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,L,A,○ 2 - 0,2,0,8542,1997-05-03,1997,5,3,土,W,False
380,,,1997.05.04,1997Jサテライトリーグ 第9節,柏レイソル,鴻巣市立陸上競技場,S,H,● 2 - 3,2,3,3888,1997-05-04,1997,5,4,日,L,False
381,221,169,1997.05.07,1997Jリーグ 1stステージ 第7節,鹿島アントラーズ,浦和市駒場スタジアム,L,H,● 1 - 3,1,3,18741,1997-05-07,1997,5,7,水,L,False
382,222,170,1997.05.10,1997Jリーグ 1stステージ 第8節,名古屋グランパスエイト,名古屋市瑞穂陸上競技場,L,A,● 1 - 3,1,3,18281,1997-05-10,1997,5,10,土,L,False
383,,,1997.05.11,1997Jサテライトリーグ 第10節,ヴェルディ川崎,五戸町ひばり野公園陸上競技場,S,A,△ 2 - 2,2,2,1104,1997-05-11,1997,5,11,日,D,False
中止,中止,中止,1997.05.17,1997Jリーグ 1stステージ 第9節,横浜フリューゲルス,浦和市駒場スタジアム,L,H,中止,-1,-1,18602,1997-05-17,1997,5,17,土,D,True
384,223,171,1997.05.24,1997Jリーグ 1stステージ 第10節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 0 - 2,0,2,11654,1997-05-24,1997,5,24,土,L,False
385,224,172,1997.05.28,1997Jリーグ 1stステージ 第11節,柏レイソル,浦和市駒場スタジアム,L,H,○ 3 - 2,3,2,18021,1997-05-28,1997,5,28,水,W,False
386,225,173,1997.07.02,1997Jリーグ 1stステージ 第9節,横浜フリューゲルス,浦和市駒場スタジアム,L,H,● 1 - 3,1,3,14937,1997-07-02,1997,7,2,水,L,False
387,226,174,1997.07.05,1997Jリーグ 1stステージ 第13節,ガンバ大阪,万博記念競技場,L,A,○ 2 - 1,2,1,16071,1997-07-05,1997,7,5,土,W,False
388,227,175,1997.07.09,1997Jリーグ 1stステージ 第14節,ヴェルディ川崎,浦和市駒場スタジアム,L,H,○ 2 - 0,2,0,18927,1997-07-09,1997,7,9,水,W,False
389,228,176,1997.07.12,1997Jリーグ 1stステージ 第15節,京都パープルサンガ,京都市西京極総合運動公園陸上競技場兼球技場,L,A,○ 1 - 1 (PK 4 - 3),1,1,6149,1997-07-12,1997,7,12,土,W,False
390,229,177,1997.07.16,1997Jリーグ 1stステージ 第16節,ジェフユナイテッド市原,浦和市駒場スタジアム,L,H,○ 3 - 0,3,0,18127,1997-07-16,1997,7,16,水,W,False
391,230,178,1997.07.19,1997Jリーグ 1stステージ 第17節,ベルマーレ平塚,平塚競技場,L,A,● 2 - 3,2,3,11056,1997-07-19,1997,7,19,土,L,False
392,,,1997.07.22,SHARP CUP WORLD SOCCER 1997,マンチェスター・ユナイテッド(イングランド),浦和市駒場スタジアム,I,H,● 1 - 2,1,2,17642,1997-07-22,1997,7,22,火,L,False
393,231,179,1997.07.30,1997Jリーグ 2ndステージ 第1節,ジェフユナイテッド市原,市原臨海競技場,L,A,● 0 - 1,0,1,3610,1997-07-30,1997,7,30,水,L,False
394,232,180,1997.08.02,1997Jリーグ 2ndステージ 第2節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,○ 2 - 0,2,0,13269,1997-08-02,1997,8,2,土,W,False
395,233,181,1997.08.06,1997Jリーグ 2ndステージ 第3節,清水エスパルス,浦和市駒場スタジアム,L,H,● 3 - 4,3,4,17890,1997-08-06,1997,8,6,水,L,False
396,234,182,1997.08.09,1997Jリーグ 2ndステージ 第4節,サンフレッチェ広島,広島ビッグアーチ,L,A,○ 2 - 1,2,1,6342,1997-08-09,1997,8,9,土,W,False
397,235,183,1997.08.16,1997Jリーグ 2ndステージ 第5節,アビスパ福岡,浦和市駒場スタジアム,L,H,● 1 - 2,1,2,18223,1997-08-16,1997,8,16,土,L,False
398,236,184,1997.08.20,1997Jリーグ 2ndステージ 第6節,セレッソ大阪,大阪長居スタジアム,L,A,○ 2 - 1,2,1,7841,1997-08-20,1997,8,20,水,W,False
399,237,185,1997.08.23,1997Jリーグ 2ndステージ 第7節,ヴィッセル神戸,浦和市駒場スタジアム,L,H,○ 2 - 0,2,0,18412,1997-08-23,1997,8,23,土,W,False
400,238,186,1997.08.30,1997Jリーグ 2ndステージ 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 1,0,1,16752,1997-08-30,1997,8,30,土,L,False
401,239,187,1997.09.03,1997Jリーグ 2ndステージ 第9節,名古屋グランパスエイト,浦和市駒場スタジアム,L,H,○ 3 - 0,3,0,17305,1997-09-03,1997,9,3,水,W,False
402,240,188,1997.09.06,1997Jリーグ 2ndステージ 第10節,横浜フリューゲルス,横浜市三ツ沢公園球技場,L,A,○ 3 - 1,3,1,10846,1997-09-06,1997,9,6,土,W,False
403,241,189,1997.09.10,1997Jリーグ 2ndステージ 第11節,京都パープルサンガ,浦和市駒場スタジアム,L,H,○ 4 - 1,4,1,16732,1997-09-10,1997,9,10,水,W,False
404,242,190,1997.09.13,1997Jリーグ 2ndステージ 第12節,ジュビロ磐田,浦和市駒場スタジアム,L,H,● 0 - 1,0,1,18783,1997-09-13,1997,9,13,土,L,False
405,243,191,1997.09.24,1997Jリーグ 2ndステージ 第14節,柏レイソル,日立柏サッカー場,L,A,● 0 - 3,0,3,7892,1997-09-24,1997,9,24,水,L,False
406,244,192,1997.09.27,1997Jリーグ 2ndステージ 第15節,ガンバ大阪,国立競技場,L,H,● 1 - 4,1,4,37565,1997-09-27,1997,9,27,土,L,False
407,245,193,1997.10.01,1997Jリーグ 2ndステージ 第16節,ヴェルディ川崎,国立競技場,L,A,○ 2 - 1,2,1,20161,1997-10-01,1997,10,1,水,W,False
408,246,194,1997.10.04,1997Jリーグ 2ndステージ 第17節,ベルマーレ平塚,浦和市駒場スタジアム,L,H,○ 1 - 0,1,0,16690,1997-10-04,1997,10,4,土,W,False
409,247,,1997.10.15,1997Jリーグヤマザキナビスコカップ 準々決勝 第1戦,ジュビロ磐田,浦和市駒場スタジアム,LC,H,△ 0 - 0,0,0,14411,1997-10-15,1997,10,15,水,D,False
410,248,,1997.10.18,1997Jリーグヤマザキナビスコカップ 準々決勝 第2戦,ジュビロ磐田,ジュビロ磐田スタジアム,LC,A,● 2 - 3,2,3,10091,1997-10-18,1997,10,18,土,L,False
411,249,,1997.12.14,第77回天皇杯全日本サッカー選手権大会 3回戦,ＮＴＴ関東,浦和市駒場スタジアム,E,N,○ 2 - 1,2,1,15261,1997-12-14,1997,12,14,日,W,False
412,250,,1997.12.20,第77回天皇杯全日本サッカー選手権大会 4回戦,ガンバ大阪,鳥取市営サッカー場バードスタジアム,E,N,● 1 - 2,1,2,5138,1997-12-20,1997,12,20,土,L,False
413,,,1998.03.08,プレシーズンマッチ,ブランメル仙台,仙台スタジアム,P,A,○ 2 - 0,2,0,8281,1998-03-08,1998,3,8,日,W,False
414,,,1998.03.15,プレシーズンマッチ,大宮アルディージャ,浦和市駒場スタジアム,P,H,○ 1 - 0,1,0,11004,1998-03-15,1998,3,15,日,W,False
415,251,195,1998.03.21,1998Jリーグ 1stステージ 第1節,ジェフユナイテッド市原,浦和市駒場スタジアム,L,H,○ 3 - 2,3,2,19828,1998-03-21,1998,3,21,土,W,False
416,252,196,1998.03.25,1998Jリーグ 1stステージ 第2節,横浜フリューゲルス,横浜国際総合競技場,L,A,○ 2 - 0,2,0,24310,1998-03-25,1998,3,25,水,W,False
417,253,197,1998.03.28,1998Jリーグ 1stステージ 第3節,セレッソ大阪,浦和市駒場スタジアム,L,H,● 1 - 2,1,2,19526,1998-03-28,1998,3,28,土,L,False
418,,,1998.03.29,1998Jサテライトリーグ 第1節,横浜フリューゲルス,横浜フリューゲルス東戸塚トレーニングセンター,S,A,○ 1 - 0,1,0,300,1998-03-29,1998,3,29,日,W,False
419,254,198,1998.04.04,1998Jリーグ 1stステージ 第4節,サンフレッチェ広島,広島スタジアム,L,A,○ 2 - 1,2,1,10911,1998-04-04,1998,4,4,土,W,False
420,,,1998.04.05,1998Jサテライトリーグ 第2節,横浜マリノス,横浜マリノス 獅子ケ谷グラウンド,S,A,○ 6 - 0,6,0,100,1998-04-05,1998,4,5,日,W,False
421,255,199,1998.04.11,1998Jリーグ 1stステージ 第5節,アビスパ福岡,浦和市駒場スタジアム,L,H,○ 2 - 2 (PK 5 - 4),2,2,19991,1998-04-11,1998,4,11,土,W,False
422,,,1998.04.12,1998Jサテライトリーグ 第3節,柏レイソル,埼玉県営大宮公園サッカー場,S,H,● 2 - 3,2,3,2481,1998-04-12,1998,4,12,日,L,False
423,256,200,1998.04.15,1998Jリーグ 1stステージ 第6節,コンサドーレ札幌,仙台スタジアム,L,A,● 0 - 2,0,2,12171,1998-04-15,1998,4,15,水,L,False
424,257,201,1998.04.18,1998Jリーグ 1stステージ 第7節,清水エスパルス,浦和市駒場スタジアム,L,H,● 0 - 2,0,2,19208,1998-04-18,1998,4,18,土,L,False
425,258,202,1998.04.25,1998Jリーグ 1stステージ 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,○ 4 - 1,4,1,15641,1998-04-25,1998,4,25,土,W,False
426,259,203,1998.04.29,1998Jリーグ 1stステージ 第9節,柏レイソル,国立競技場,L,H,○ 3 - 1,3,1,46547,1998-04-29,1998,4,29,水,W,False
427,260,204,1998.05.02,1998Jリーグ 1stステージ 第10節,ガンバ大阪,万博記念競技場,L,A,○ 2 - 0,2,0,10485,1998-05-02,1998,5,2,土,W,False
428,261,205,1998.05.05,1998Jリーグ 1stステージ 第11節,横浜マリノス,浦和市駒場スタジアム,L,H,● 0 - 1,0,1,20048,1998-05-05,1998,5,5,火,L,False
429,262,206,1998.05.09,1998Jリーグ 1stステージ 第12節,京都パープルサンガ,国立競技場,L,H,○ 2 - 1,2,1,33773,1998-05-09,1998,5,9,土,W,False
430,,,1998.05.10,1998Jサテライトリーグ 第7節,ジェフユナイテッド市原,鴻巣市立陸上競技場,S,H,○ 3 - 1,3,1,2249,1998-05-10,1998,5,10,日,W,False
431,263,,1998.05.16,1998Jリーグヤマザキナビスコカップ 予選リーグ 第1節,ジュビロ磐田,新潟市陸上競技場,LC,A,○ 2 - 1,2,1,11765,1998-05-16,1998,5,16,土,W,False
432,264,,1998.05.23,1998Jリーグヤマザキナビスコカップ 予選リーグ 第2節,ヴェルディ川崎,浦和市駒場スタジアム,LC,H,△ 1 - 1,1,1,17010,1998-05-23,1998,5,23,土,D,False
433,265,,1998.05.30,1998Jリーグヤマザキナビスコカップ 予選リーグ 第3節,ブランメル仙台,浦和市駒場スタジアム,LC,H,○ 6 - 0,6,0,13972,1998-05-30,1998,5,30,土,W,False
434,,,1998.05.31,1998Jサテライトリーグ 第8節,鹿島アントラーズ,埼玉県営大宮公園サッカー場,S,H,○ 3 - 2,3,2,2806,1998-05-31,1998,5,31,日,W,False
435,266,,1998.06.03,1998Jリーグヤマザキナビスコカップ 予選リーグ 第4節,サンフレッチェ広島,広島スタジアム,LC,A,△ 1 - 1,1,1,4594,1998-06-03,1998,6,3,水,D,False
436,267,207,1998.07.25,1998Jリーグ 1stステージ 第13節,名古屋グランパスエイト,名古屋市瑞穂陸上競技場,L,A,● 1 - 3,1,3,19370,1998-07-25,1998,7,25,土,L,False
437,268,208,1998.07.29,1998Jリーグ 1stステージ 第14節,ベルマーレ平塚,浦和市駒場スタジアム,L,H,○ 2 - 1,2,1,18330,1998-07-29,1998,7,29,水,W,False
438,269,209,1998.08.01,1998Jリーグ 1stステージ 第15節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 0 - 2,0,2,15845,1998-08-01,1998,8,1,土,L,False
439,,,1998.08.02,1998Jサテライトリーグ 第9節,横浜マリノス,埼玉県営大宮公園サッカー場,S,H,● 1 - 2,1,2,2390,1998-08-02,1998,8,2,日,L,False
440,270,210,1998.08.05,1998Jリーグ 1stステージ 第16節,ヴェルディ川崎,浦和市駒場スタジアム,L,H,○ 1 - 1 (PK 4 - 2),1,1,16971,1998-08-05,1998,8,5,水,W,False
441,271,211,1998.08.08,1998Jリーグ 1stステージ 第17節,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,L,A,○ 5 - 1,5,1,9644,1998-08-08,1998,8,8,土,W,False
442,,,1998.08.09,1998Jサテライトリーグ 第10節,柏レイソル,松戸市運動公園陸上競技場,S,A,● 0 - 2,0,2,1211,1998-08-09,1998,8,9,日,L,False
443,272,212,1998.08.22,1998Jリーグ 2ndステージ 第1節,ベルマーレ平塚,平塚競技場,L,A,○ 4 - 0,4,0,13088,1998-08-22,1998,8,22,土,W,False
444,,,1998.08.23,1998Jサテライトリーグ 第12節,横浜フリューゲルス,埼玉県営大宮公園サッカー場,S,H,○ 4 - 2,4,2,1951,1998-08-23,1998,8,23,日,W,False
445,273,213,1998.08.29,1998Jリーグ 2ndステージ 第2節,ジュビロ磐田,浦和市駒場スタジアム,L,H,○ 2 - 0,2,0,17325,1998-08-29,1998,8,29,土,W,False
446,274,214,1998.09.05,1998Jリーグ 2ndステージ 第3節,ヴェルディ川崎,国立競技場,L,A,○ 3 - 0,3,0,33780,1998-09-05,1998,9,5,土,W,False
447,,,1998.09.06,1998Jサテライトリーグ 第14節,鹿島アントラーズ,総和広域中央運動公園陸上競技場,S,A,○ 1 - 0,1,0,2258,1998-09-06,1998,9,6,日,W,False
448,275,215,1998.09.12,1998Jリーグ 2ndステージ 第4節,ヴィッセル神戸,浦和市駒場スタジアム,L,H,○ 2 - 1,2,1,18957,1998-09-12,1998,9,12,土,W,False
449,276,216,1998.09.15,1998Jリーグ 2ndステージ 第5節,ジェフユナイテッド市原,市原臨海競技場,L,A,○ 2 - 0,2,0,8367,1998-09-15,1998,9,15,火,W,False
450,277,217,1998.09.19,1998Jリーグ 2ndステージ 第6節,横浜フリューゲルス,浦和市駒場スタジアム,L,H,○ 3 - 0,3,0,19742,1998-09-19,1998,9,19,土,W,False
451,278,218,1998.09.23,1998Jリーグ 2ndステージ 第7節,セレッソ大阪,大阪長居スタジアム,L,A,● 1 - 2,1,2,16145,1998-09-23,1998,9,23,水,L,False
452,279,219,1998.09.26,1998Jリーグ 2ndステージ 第8節,サンフレッチェ広島,浦和市駒場スタジアム,L,H,● 1 - 2,1,2,17876,1998-09-26,1998,9,26,土,L,False
453,,,1998.09.27,1998Jサテライトリーグ 第15節,ジェフユナイテッド市原,市原臨海競技場,S,A,○ 3 - 1,3,1,220,1998-09-27,1998,9,27,日,W,False
454,280,220,1998.10.03,1998Jリーグ 2ndステージ 第9節,アビスパ福岡,東平尾公園博多の森球技場,L,A,○ 2 - 0,2,0,14498,1998-10-03,1998,10,3,土,W,False
455,281,221,1998.10.14,1998Jリーグ 2ndステージ 第10節,コンサドーレ札幌,浦和市駒場スタジアム,L,H,○ 2 - 1,2,1,17580,1998-10-14,1998,10,14,水,W,False
456,282,222,1998.10.17,1998Jリーグ 2ndステージ 第11節,清水エスパルス,日本平スタジアム,L,A,● 0 - 1,0,1,15117,1998-10-17,1998,10,17,土,L,False
457,283,223,1998.10.21,1998Jリーグ 2ndステージ 第12節,鹿島アントラーズ,国立競技場,L,H,● 2 - 3,2,3,42258,1998-10-21,1998,10,21,水,L,False
458,284,224,1998.10.24,1998Jリーグ 2ndステージ 第13節,柏レイソル,国立競技場,L,A,● 0 - 2,0,2,26021,1998-10-24,1998,10,24,土,L,False
459,285,225,1998.10.31,1998Jリーグ 2ndステージ 第14節,ガンバ大阪,浦和市駒場スタジアム,L,H,○ 1 - 0,1,0,17927,1998-10-31,1998,10,31,土,W,False
460,286,226,1998.11.03,1998Jリーグ 2ndステージ 第15節,横浜マリノス,国立競技場,L,A,● 2 - 3,2,3,41786,1998-11-03,1998,11,3,火,L,False
461,287,227,1998.11.07,1998Jリーグ 2ndステージ 第16節,京都パープルサンガ,京都市西京極総合運動公園陸上競技場兼球技場,L,A,○ 3 - 1,3,1,10787,1998-11-07,1998,11,7,土,W,False
462,288,228,1998.11.14,1998Jリーグ 2ndステージ 第17節,名古屋グランパスエイト,浦和市駒場スタジアム,L,H,○ 2 - 1,2,1,20107,1998-11-14,1998,11,14,土,W,False
463,289,,1998.12.13,第78回天皇杯全日本サッカー選手権大会 3回戦,アルビレックス新潟,浦和市駒場スタジアム,E,N,○ 4 - 1,4,1,10084,1998-12-13,1998,12,13,日,W,False
464,290,,1998.12.20,第78回天皇杯全日本サッカー選手権大会 4回戦,柏レイソル,浦和市駒場スタジアム,E,N,○ 3 - 1,3,1,12632,1998-12-20,1998,12,20,日,W,False
465,291,,1998.12.23,第78回天皇杯全日本サッカー選手権大会 準々決勝,清水エスパルス,香川県立丸亀競技場,E,N,● 0 - 1,0,1,8033,1998-12-23,1998,12,23,水,L,False
466,,,1999.02.27,プレシーズンマッチ,ジュビロ磐田,愛鷹広域公園多目的競技場,P,A,● 1 - 1 (PK 2 - 3),1,1,8741,1999-02-27,1999,2,27,土,L,False
467,292,229,1999.03.06,1999Jリーグ ディビジョン1 1stステージ 第1節,ガンバ大阪,浦和市駒場スタジアム,L,H,○ 2 - 1,2,1,18639,1999-03-06,1999,3,6,土,W,False
468,293,230,1999.03.13,1999Jリーグ ディビジョン1 1stステージ 第2節,ジェフユナイテッド市原,市原臨海競技場,L,A,△ 0 - 0,0,0,8057,1999-03-13,1999,3,13,土,D,False
469,,,1999.03.14,1999Jサテライトリーグ 第1日,鹿島アントラーズ,鹿島アントラーズクラブハウスグラウンド,S,A,○ 2 - 0,2,0,1076,1999-03-14,1999,3,14,日,W,False
470,294,231,1999.03.20,1999Jリーグ ディビジョン1 1stステージ 第3節,ヴィッセル神戸,浦和市駒場スタジアム,L,H,△ 0 - 0,0,0,15291,1999-03-20,1999,3,20,土,D,False
471,295,232,1999.03.27,1999Jリーグ ディビジョン1 1stステージ 第4節,サンフレッチェ広島,広島ビッグアーチ,L,A,● 1 - 4,1,4,8163,1999-03-27,1999,3,27,土,L,False
472,296,233,1999.04.03,1999Jリーグ ディビジョン1 1stステージ 第5節,ヴェルディ川崎,浦和市駒場スタジアム,L,H,△ 2 - 2,2,2,18770,1999-04-03,1999,4,3,土,D,False
473,,,1999.04.04,1999Jサテライトリーグ 第3日,ジェフユナイテッド市原,熊谷運動公園陸上競技場,S,H,△ 3 - 3,3,3,1009,1999-04-04,1999,4,4,日,D,False
474,297,234,1999.04.10,1999Jリーグ ディビジョン1 1stステージ 第6節,ベルマーレ平塚,国立競技場,L,A,○ 3 - 0,3,0,20371,1999-04-10,1999,4,10,土,W,False
475,,,1999.04.11,1999Jサテライトリーグ 第4日,柏レイソル,日立柏サッカー場,S,A,● 0 - 2,0,2,452,1999-04-11,1999,4,11,日,L,False
476,298,235,1999.04.17,1999Jリーグ ディビジョン1 1stステージ 第7節,京都パープルサンガ,浦和市駒場スタジアム,L,H,● 0 - 1,0,1,18654,1999-04-17,1999,4,17,土,L,False
477,299,236,1999.04.24,1999Jリーグ ディビジョン1 1stステージ 第8節,柏レイソル,柏の葉公園総合競技場,L,A,● 1 - 3,1,3,15849,1999-04-24,1999,4,24,土,L,False
478,300,237,1999.04.28,1999Jリーグ ディビジョン1 1stステージ 第9節,横浜F・マリノス,浦和市駒場スタジアム,L,H,● 1 - 2,1,2,17907,1999-04-28,1999,4,28,水,L,False
479,301,238,1999.05.01,1999Jリーグ ディビジョン1 1stステージ 第10節,清水エスパルス,日本平スタジアム,L,A,△ 2 - 2,2,2,14558,1999-05-01,1999,5,1,土,D,False
480,302,239,1999.05.05,1999Jリーグ ディビジョン1 1stステージ 第11節,セレッソ大阪,浦和市駒場スタジアム,L,H,● 2 - 3,2,3,18401,1999-05-05,1999,5,5,水,L,False
481,303,240,1999.05.08,1999Jリーグ ディビジョン1 1stステージ 第12節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 3 - 4,3,4,14026,1999-05-08,1999,5,8,土,L,False
482,,,1999.05.09,1999Jサテライトリーグ 第7日,ベルマーレ平塚,鴻巣市立陸上競技場,S,H,○ 5 - 4,5,4,1316,1999-05-09,1999,5,9,日,W,False
483,304,241,1999.05.15,1999Jリーグ ディビジョン1 1stステージ 第13節,鹿島アントラーズ,国立競技場,L,H,○ 1 - 0,1,0,46401,1999-05-15,1999,5,15,土,W,False
484,305,242,1999.05.22,1999Jリーグ ディビジョン1 1stステージ 第14節,アビスパ福岡,浦和市駒場スタジアム,L,H,● 2 - 3,2,3,18229,1999-05-22,1999,5,22,土,L,False
485,,,1999.05.23,1999Jサテライトリーグ 第9日,柏レイソル,鴻巣市立陸上競技場,S,H,△ 0 - 0,0,0,1547,1999-05-23,1999,5,23,日,D,False
486,306,243,1999.05.29,1999Jリーグ ディビジョン1 1stステージ 第15節,名古屋グランパスエイト,名古屋市瑞穂陸上競技場,L,A,● 1 - 8,1,8,22741,1999-05-29,1999,5,29,土,L,False
487,307,,1999.06.12,1999Jリーグヤマザキナビスコカップ 2回戦 第1戦,大分トリニータ,大分市営陸上競技場,LC,A,● 0 - 1,0,1,7941,1999-06-12,1999,6,12,土,L,False
488,308,,1999.06.19,1999Jリーグヤマザキナビスコカップ 2回戦 第2戦,大分トリニータ,浦和市駒場スタジアム,LC,H,○ 3 - 1,3,1,15439,1999-06-19,1999,6,19,土,W,False
489,309,,1999.07.20,1999Jリーグヤマザキナビスコカップ 準々決勝 第1戦,鹿島アントラーズ,浦和市駒場スタジアム,LC,H,○ 2 - 0,2,0,15444,1999-07-20,1999,7,20,火,W,False
490,310,,1999.07.24,1999Jリーグヤマザキナビスコカップ 準々決勝 第2戦,鹿島アントラーズ,茨城県立カシマサッカースタジアム,LC,A,● 0 - 3,0,3,13667,1999-07-24,1999,7,24,土,L,False
491,311,244,1999.08.07,1999Jリーグ ディビジョン1 2ndステージ 第1節,京都パープルサンガ,京都市西京極総合運動公園陸上競技場兼球技場,L,A,● 1 - 2,1,2,8652,1999-08-07,1999,8,7,土,L,False
492,,,1999.08.09,1999Jサテライトリーグ 第11日,ジェフユナイテッド市原,ジェフユナイテッド舞浜グラウンド,S,A,○ 3 - 2,3,2,170,1999-08-09,1999,8,9,月,W,False
493,312,245,1999.08.14,1999Jリーグ ディビジョン1 2ndステージ 第2節,柏レイソル,浦和市駒場スタジアム,L,H,● 2 - 3,2,3,13329,1999-08-14,1999,8,14,土,L,False
494,313,246,1999.08.18,1999Jリーグ ディビジョン1 2ndステージ 第3節,横浜F・マリノス,横浜国際総合競技場,L,A,● 0 - 2,0,2,17916,1999-08-18,1999,8,18,水,L,False
495,314,247,1999.08.21,1999Jリーグ ディビジョン1 2ndステージ 第4節,清水エスパルス,国立競技場,L,H,● 0 - 3,0,3,28321,1999-08-21,1999,8,21,土,L,False
496,315,248,1999.08.28,1999Jリーグ ディビジョン1 2ndステージ 第5節,セレッソ大阪,大阪長居スタジアム,L,A,○ 3 - 2,3,2,12718,1999-08-28,1999,8,28,土,W,False
497,,,1999.08.29,1999Jサテライトリーグ 第13日,ベルマーレ平塚,姫の沢公園スポーツ広場,S,A,○ 2 - 0,2,0,700,1999-08-29,1999,8,29,日,W,False
498,316,249,1999.09.04,1999Jリーグ ディビジョン1 2ndステージ 第6節,ジュビロ磐田,国立競技場,L,H,● 1 - 2,1,2,28650,1999-09-04,1999,9,4,土,L,False
499,317,250,1999.09.11,1999Jリーグ ディビジョン1 2ndステージ 第7節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 1 - 2,1,2,13227,1999-09-11,1999,9,11,土,L,False
500,318,251,1999.09.15,1999Jリーグ ディビジョン1 2ndステージ 第8節,アビスパ福岡,東平尾公園博多の森球技場,L,A,● 1 - 2,1,2,13924,1999-09-15,1999,9,15,水,L,False
501,319,252,1999.09.18,1999Jリーグ ディビジョン1 2ndステージ 第9節,名古屋グランパスエイト,浦和市駒場スタジアム,L,H,● 1 - 2,1,2,18199,1999-09-18,1999,9,18,土,L,False
502,,,1999.09.19,1999Jサテライトリーグ 第15日,鹿島アントラーズ,東松山陸上競技場,S,H,● 0 - 1,0,1,2131,1999-09-19,1999,9,19,日,L,False
503,320,253,1999.09.23,1999Jリーグ ディビジョン1 2ndステージ 第10節,ガンバ大阪,万博記念競技場,L,A,○ 2 - 1,2,1,7817,1999-09-23,1999,9,23,木,W,False
504,321,254,1999.10.30,1999Jリーグ ディビジョン1 2ndステージ 第11節,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,L,A,● 0 - 2,0,2,12990,1999-10-30,1999,10,30,土,L,False
505,322,255,1999.11.17,1999Jリーグ ディビジョン1 2ndステージ 第12節,ジェフユナイテッド市原,浦和市駒場スタジアム,L,H,○ 1 - 0,1,0,19279,1999-11-17,1999,11,17,水,W,False
506,323,256,1999.11.20,1999Jリーグ ディビジョン1 2ndステージ 第13節,ベルマーレ平塚,浦和市駒場スタジアム,L,H,○ 2 - 0,2,0,19034,1999-11-20,1999,11,20,土,W,False
507,324,257,1999.11.23,1999Jリーグ ディビジョン1 2ndステージ 第14節,ヴェルディ川崎,等々力陸上競技場,L,A,△ 2 - 2,2,2,20126,1999-11-23,1999,11,23,火,D,False
508,325,258,1999.11.27,1999Jリーグ ディビジョン1 2ndステージ 第15節,サンフレッチェ広島,浦和市駒場スタジアム,L,H,○ 1 - 0,1,0,20042,1999-11-27,1999,11,27,土,W,False
509,326,,1999.12.12,第79回天皇杯全日本サッカー選手権大会 3回戦,アルビレックス新潟,浦和市駒場スタジアム,E,N,○ 3 - 1,3,1,12042,1999-12-12,1999,12,12,日,W,False
510,327,,1999.12.19,第79回天皇杯全日本サッカー選手権大会 4回戦,柏レイソル,浦和市駒場スタジアム,E,N,● 0 - 2,0,2,13721,1999-12-19,1999,12,19,日,L,False
511,,,2000.01.23,日蘭交流400周年記念試合,AFCアヤックス(オランダ),アムステルダム・アレナ,I,A,△ 1 - 1,1,1,19000,2000-01-23,2000,1,23,日,D,False
512,328,,2000.03.11,2000Jリーグ ディビジョン2 第1節,水戸ホーリーホック,浦和市駒場スタジアム,L,H,○ 2 - 0,2,0,18422,2000-03-11,2000,3,11,土,W,False
513,329,,2000.03.19,2000Jリーグ ディビジョン2 第2節,湘南ベルマーレ,平塚競技場,L,A,○ 2 - 1,2,1,14868,2000-03-19,2000,3,19,日,W,False
514,330,,2000.03.25,2000Jリーグ ディビジョン2 第3節,大宮アルディージャ,浦和市駒場スタジアム,L,H,○ 1 - 0,1,0,20189,2000-03-25,2000,3,25,土,W,False
515,331,,2000.03.30,2000Jリーグ ディビジョン2 第4節,サガン鳥栖,鳥栖スタジアム,L,A,○ 7 - 0,7,0,7954,2000-03-30,2000,3,30,木,W,False
516,332,,2000.04.02,2000Jリーグ ディビジョン2 第5節,ヴァンフォーレ甲府,浦和市駒場スタジアム,L,H,○ 3 - 1,3,1,16996,2000-04-02,2000,4,2,日,W,False
延期,延期,,2000.04.09,2000Jリーグ ディビジョン2 第6節,コンサドーレ札幌,室蘭市入江運動公園陸上競技場,L,A,延期,-1,-1,0,2000-04-09,2000,4,9,日,D,True
517,333,,2000.04.12,2000Jリーグヤマザキナビスコカップ 1回戦 第1戦,川崎フロンターレ,等々力陸上競技場,LC,A,● 0 - 3,0,3,7026,2000-04-12,2000,4,12,水,L,False
518,334,,2000.04.16,2000Jリーグ ディビジョン2 第7節,アルビレックス新潟,浦和市駒場スタジアム,L,H,○ 5 - 1,5,1,16610,2000-04-16,2000,4,16,日,W,False
